web-scraper-order,web-scraper-start-url,fandom,relationship,title,datetime,kudos,rating,warnings,tags
"1715628003-95","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Ashlyn Harris vs The World","","","","Creator Chose Not To Use Archive Warnings",""
"1715628003-96","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","07 Nov 2022","","","",""
"1715628003-97","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","","14","","",""
"1715628003-98","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","","","General Audiences","",""
"1715628003-99","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","","","","No Archive Warnings Apply",""
"1715628003-100","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","","","","","US Women's Soccer National Team"
"1715628003-101","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","","","","","National Women's Soccer League"
"1715628003-102","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","Football Quest 2","","","","","Women's Professional Soccer"
"1715628003-103","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","03 Apr 2016","","","",""
"1715628003-104","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","","14","","",""
"1715628003-105","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","","","Mature","",""
"1715628003-106","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","","","","Graphic Depictions Of Violence",""
"1715628003-107","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","","","","Major Character Death",""
"1715628003-108","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","","","","","Death"
"1715628003-109","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Alex Morgan","Letters to No One","","","","","alternate universe- attack on titan"
"1715628003-110","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Let her go","17 Mar 2016","","","",""
"1715628003-111","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Let her go","","14","","",""
"1715628003-112","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Let her go","","","Teen And Up Audiences","",""
"1715628003-113","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Let her go","","","","Creator Chose Not To Use Archive Warnings",""
"1715628009-114","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","The way to the heart.","04 Mar 2023","","","",""
"1715628009-115","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","The way to the heart.","","27","","",""
"1715628009-116","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","The way to the heart.","","","Teen And Up Audiences","",""
"1715628009-117","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Tobin Heath/Christen Press","The way to the heart.","","","","Creator Chose Not To Use Archive Warnings",""
"1715628009-118","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Christen Press","Away from Home","16 Dec 2020","","","",""
"1715628009-119","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Christen Press","Away from Home","","27","","",""
"1715628009-120","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Christen Press","Away from Home","","","General Audiences","",""
"1715628009-121","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Tobin Heath/Christen Press","Away from Home","","","","Creator Chose Not To Use Archive Warnings",""
"1715628009-122","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","14 Oct 2020","","","",""
"1715628009-123","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","27","","",""
"1715628009-124","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","General Audiences","",""
"1715628009-125","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","No Archive Warnings Apply",""
"1715628009-126","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","","Angst"
"1715628009-127","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","","Fluff"
"1715628009-128","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","","Orphans"
"1715628009-129","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","","Olympique Lyonnais"
"1715628009-130","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","","Football | Soccer"
"1715628009-131","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Learning what life is","","","","","Geniuses"
"1715628009-132","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Orlando 2021- Hindsight","02 Sep 2018","","","",""
"1715628009-133","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Orlando 2021- Hindsight","","27","","",""
"1715628009-134","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Orlando 2021- Hindsight","","","Not Rated","",""
"1715628009-135","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Orlando 2021- Hindsight","","","","No Archive Warnings Apply",""
"1715628009-136","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Take Shelter","25 Jan 2016","","","",""
"1715628009-137","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Take Shelter","","27","","",""
"1715628009-138","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Take Shelter","","","Mature","",""
"1715628009-139","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Take Shelter","","","","Graphic Depictions Of Violence",""
"1715628009-140","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=49&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Take Shelter","","","","Major Character Death",""
